Model,Train_Accuracy,Test_Accuracy,Time
DecisionTreeClassifier,0.6144649257552482,0.5869786368260427,0.03805472535982847
RandomForestClassifier,0.7067396313364055,0.6317395727365208,0.018937312611313914
